,Churn,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,CityTier_2,CityTier_3,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
68,0,5.0,13.0,2.0,2,2,5.0,0,14.0,0.0,2.0,2.0,120.88999999999999,0,0,0,1,0,0,0,1,0,0,1,0,1,0
69,0,18.0,8.0,3.0,4,2,10.0,0,23.0,2.0,11.0,8.0,267.92,0,0,0,1,0,0,0,1,1,0,0,0,0,0
70,0,10.0,27.0,3.0,2,5,2.0,1,12.0,0.0,1.0,7.0,135.64,1,0,0,0,1,0,0,1,0,0,1,0,0,0
71,0,8.0,8.0,2.0,3,4,6.0,0,11.0,1.0,1.0,2.0,144.25,0,0,0,1,0,0,0,0,0,1,0,0,0,1
72,0,15.0,27.0,2.0,3,3,3.0,0,16.0,0.0,1.0,2.0,152.65,0,0,0,1,0,0,0,0,0,1,0,0,1,0
73,0,11.0,8.0,2.0,3,3,10.0,0,14.0,0.0,1.0,0.0,165.53,1,0,0,0,1,0,0,1,0,1,0,0,0,0
74,0,11.0,35.0,2.0,3,2,4.0,0,18.0,0.0,1.0,7.0,162.61,1,0,0,0,0,0,0,1,0,1,0,0,0,0
75,0,0.0,6.0,2.0,4,5,6.0,0,19.0,0.0,2.0,0.0,142.98,0,0,0,0,0,0,0,1,0,1,0,0,0,0
76,0,22.0,24.0,3.0,3,2,2.0,1,15.0,0.0,1.0,7.0,168.04,0,0,0,0,1,0,0,1,0,1,0,0,1,0
77,0,7.0,16.0,2.0,3,3,2.0,1,17.0,2.0,2.0,0.0,138.15,0,0,0,1,0,0,0,1,0,0,1,0,1,0
78,0,13.0,25.0,3.0,3,2,9.0,1,15.0,1.0,3.0,7.0,127.41,1,0,0,1,0,0,0,1,0,1,0,0,0,0
79,1,1.0,35.0,3.0,3,5,8.0,1,19.0,0.0,1.0,0.0,166.73,1,0,0,1,0,0,0,1,0,1,0,0,0,0
80,1,0.0,33.0,2.0,3,2,2.0,0,22.0,1.0,1.0,9.0,176.39,1,0,1,0,0,1,0,0,0,0,0,0,0,0
81,0,0.0,13.0,2.0,2,4,2.0,1,16.0,0.0,2.0,2.0,123.28,1,0,0,0,1,0,0,1,0,0,1,0,1,0
82,0,1.0,24.0,3.0,3,2,2.0,0,13.0,1.0,1.0,7.0,121.53,0,0,0,1,0,0,0,0,0,0,1,0,0,1
83,0,13.0,15.0,3.0,4,2,10.0,0,14.0,1.0,1.0,2.0,148.76,0,0,0,0,1,0,0,1,0,1,0,0,0,0
84,0,19.0,6.0,3.0,3,5,8.0,0,16.0,0.0,1.0,3.0,193.96,1,0,0,1,0,0,0,1,0,0,0,0,1,0
85,1,0.0,10.0,2.0,5,2,2.0,0,11.0,7.0,9.0,8.0,204.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
86,0,3.0,6.0,2.0,4,3,2.0,0,22.0,2.0,5.0,8.0,184.74,0,0,0,0,1,0,0,1,0,0,0,0,0,1
87,0,0.0,26.0,2.0,3,3,2.0,0,14.0,1.0,1.0,7.0,199.81,0,0,1,0,1,0,0,0,0,1,0,0,0,1
88,0,24.0,14.0,2.0,4,4,6.0,0,16.0,1.0,4.0,7.0,224.89999999999998,1,0,0,0,1,0,0,1,0,0,0,0,0,0
89,1,0.0,13.0,2.0,3,5,6.0,1,11.0,1.0,1.0,4.0,126.57,1,0,0,0,0,0,0,0,0,0,1,0,0,1
90,0,14.0,12.0,3.0,3,2,4.0,1,18.0,0.0,2.0,0.0,235.91000000000003,1,0,1,0,1,0,0,0,0,0,0,0,0,1
91,1,0.0,32.0,2.0,4,5,6.0,0,15.0,0.0,1.0,1.0,166.96,0,0,1,0,0,1,0,0,0,1,0,0,0,1
92,1,1.0,6.0,2.0,3,3,1.0,0,14.0,0.0,1.0,5.0,120.58000000000001,1,0,0,0,0,0,0,1,0,0,1,0,0,1
93,0,18.0,12.0,2.0,4,2,7.0,0,12.0,9.0,12.0,8.0,188.65,0,0,1,1,0,0,0,0,0,0,0,0,0,1
94,0,27.0,9.0,2.0,3,5,3.0,0,14.0,1.0,1.0,5.0,159.4,1,0,1,0,0,1,0,0,0,1,0,0,0,0
95,0,9.0,11.0,3.0,3,4,9.0,0,16.0,0.0,3.0,7.0,159.14,1,0,0,0,1,0,0,1,0,1,0,0,0,1
96,0,6.0,13.0,2.0,4,4,7.0,0,21.0,0.0,1.0,1.0,126.22,1,0,0,1,0,0,0,0,0,0,1,0,0,0
97,0,10.0,17.0,2.0,3,2,2.0,1,14.0,0.0,1.0,7.0,221.85000000000002,0,0,0,0,0,0,1,1,0,0,0,0,1,0
98,0,11.0,9.0,3.0,3,3,1.0,0,12.0,1.0,5.0,13.0,206.08999999999997,1,0,1,0,1,0,0,1,0,0,0,0,1,0
99,0,4.0,6.0,2.0,5,3,1.0,0,12.0,1.0,1.0,4.0,143.45,0,0,0,1,0,0,0,1,0,1,0,0,0,0
100,0,5.0,9.0,3.0,4,2,4.0,0,17.0,0.0,1.0,0.0,121.77000000000001,1,0,0,0,1,0,0,1,0,0,1,0,0,0
101,0,10.0,10.0,2.0,3,2,5.0,0,17.0,1.0,5.0,8.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
102,0,2.0,6.0,2.0,3,2,2.0,0,14.0,4.0,4.0,1.0,179.18,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103,0,8.0,6.0,3.0,3,3,2.0,0,14.0,1.0,1.0,8.0,187.89,0,0,1,0,0,1,0,0,0,0,0,0,0,1
104,1,0.0,13.0,2.0,4,2,2.0,1,13.0,0.0,1.0,1.0,123.88999999999999,1,0,0,1,0,0,0,1,0,0,1,0,0,1
105,0,25.0,8.0,2.0,4,2,8.0,0,15.0,0.0,2.0,2.0,132.12,1,0,0,0,1,0,0,0,0,0,1,0,0,1
106,0,15.0,10.0,2.0,3,2,2.0,0,14.0,0.0,11.0,15.0,292.32,1,0,0,0,0,0,0,1,0,0,0,1,0,0
107,0,5.0,12.0,2.0,3,3,9.0,0,17.0,2.0,2.0,2.0,122.66999999999999,1,1,0,1,0,0,0,1,0,0,1,0,0,0
108,0,23.0,6.0,3.0,3,2,4.0,0,14.0,1.0,1.0,6.0,295.17,1,0,1,1,0,0,0,0,0,0,0,1,1,0
109,1,0.0,13.0,2.0,3,2,6.0,1,13.0,0.0,1.0,4.0,124.36000000000001,1,0,0,1,0,0,0,1,0,0,1,0,0,0
110,0,16.0,22.0,3.0,3,2,6.0,1,22.0,0.0,4.0,9.0,260.64,1,0,1,0,0,1,0,0,1,0,0,0,0,0
111,1,0.0,8.0,3.0,3,5,8.0,0,20.0,1.0,1.0,7.0,127.07,1,0,0,0,1,0,0,0,0,0,1,0,0,0
112,0,25.0,8.0,3.0,4,3,2.0,1,18.0,2.0,14.0,12.0,290.68,0,0,1,0,1,0,0,1,0,0,0,1,0,1
113,0,5.0,10.0,2.0,3,4,3.0,0,11.0,1.0,1.0,2.0,139.31,1,0,1,0,1,0,0,0,0,0,1,0,0,0
114,1,0.0,6.0,3.0,4,3,1.0,1,14.0,1.0,1.0,2.0,137.3,1,0,0,0,1,0,0,1,0,0,1,0,0,1
115,0,5.0,6.0,3.0,3,3,8.0,0,14.0,0.0,1.0,2.0,122.32,1,0,0,1,0,0,0,0,0,0,1,0,1,0
116,0,5.0,32.0,3.0,3,2,1.0,0,18.0,1.0,2.0,2.0,144.65,0,0,1,0,0,1,0,1,0,1,0,0,0,0
117,0,14.0,25.0,3.0,3,5,3.0,0,16.0,1.0,1.0,0.0,130.72,1,0,0,0,1,0,0,1,0,1,0,0,1,0
118,0,13.0,30.0,3.0,3,2,2.0,0,17.0,2.0,4.0,7.0,133.19,1,0,0,0,0,0,0,1,0,1,0,0,1,0
119,0,18.0,6.0,3.0,2,2,1.0,0,14.0,1.0,1.0,7.0,292.02,1,0,0,0,0,0,1,1,0,0,0,1,0,0
120,0,4.0,9.0,3.0,3,3,10.0,0,12.0,1.0,2.0,2.0,236.75,0,0,0,1,0,0,0,1,0,0,0,0,1,0
121,0,6.0,11.0,3.0,4,2,2.0,0,13.0,0.0,1.0,2.0,129.11,1,0,0,0,1,0,0,0,0,0,1,0,0,0
122,0,7.0,8.0,2.0,4,5,7.0,0,13.0,0.0,5.0,9.0,159.57,1,0,0,0,1,0,0,1,0,1,0,0,0,0
123,0,10.0,6.0,2.0,4,5,3.0,0,14.0,1.0,1.0,2.0,139.2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
124,0,18.0,13.0,3.0,2,3,5.0,0,17.0,0.0,1.0,2.0,164.34,0,0,0,0,1,0,0,1,0,1,0,0,0,0
125,1,0.0,16.0,3.0,3,3,7.0,0,11.0,1.0,1.0,0.0,200.48,0,0,0,1,0,0,0,1,0,0,0,0,1,0
126,0,12.0,8.0,3.0,3,3,1.0,0,25.0,9.0,11.0,7.0,209.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,0,2.0,13.0,2.0,3,2,2.0,0,19.0,0.0,1.0,5.0,123.4,1,0,0,0,1,0,0,1,0,0,1,0,0,1
128,0,15.0,23.0,2.0,2,5,4.0,1,13.0,0.0,1.0,2.0,165.45,1,0,0,0,1,0,0,0,0,1,0,0,0,1
129,0,2.0,26.0,2.0,3,2,3.0,0,14.0,1.0,1.0,2.0,169.31,1,0,1,0,0,1,0,1,0,1,0,0,1,0
130,0,0.0,6.0,3.0,3,3,1.0,0,12.0,1.0,1.0,2.0,148.98,1,0,0,0,1,0,0,0,0,1,0,0,0,0
131,0,15.0,13.0,2.0,4,5,1.0,1,11.0,4.0,7.0,8.0,125.93,1,0,0,1,0,0,0,0,0,0,1,0,1,0
132,0,13.0,8.0,2.0,3,3,1.0,0,14.0,0.0,3.0,9.0,294.36,1,0,0,1,0,0,0,1,0,0,0,1,1,0
133,0,24.0,6.0,3.0,3,2,2.0,0,11.0,1.0,1.0,0.0,127.22999999999999,1,0,0,0,1,0,0,1,0,0,1,0,0,0
134,1,0.0,35.0,3.0,4,4,1.0,0,11.0,1.0,1.0,4.0,134.79,0,0,0,1,0,0,0,1,0,0,1,0,0,1
135,0,5.0,13.0,3.0,2,4,2.0,0,20.0,0.0,1.0,3.0,127.94,0,0,0,0,1,0,0,1,0,0,1,0,0,0
136,0,11.0,8.0,2.0,4,2,4.0,0,18.0,6.0,7.0,5.0,152.49,0,0,1,0,1,0,0,1,0,1,0,0,0,0
137,0,8.0,8.0,2.0,4,5,5.0,0,13.0,0.0,1.0,4.0,121.75999999999999,1,0,0,0,0,0,0,1,0,1,0,0,0,1
138,0,19.0,8.0,3.0,5,4,4.0,1,12.0,2.0,7.0,7.0,268.72,1,0,1,0,0,0,0,0,1,0,0,0,0,0
139,1,0.0,8.0,3.0,3,3,3.0,0,11.0,1.0,1.0,0.0,134.85,1,0,0,0,1,0,0,1,0,0,1,0,0,1
140,0,2.0,8.0,3.0,4,4,3.0,0,19.0,0.0,1.0,0.0,166.44,1,0,1,1,0,0,0,1,0,1,0,0,0,0
141,0,4.0,29.0,3.0,4,2,1.0,0,21.0,1.0,7.0,8.0,155.82,1,0,0,1,0,0,0,1,0,1,0,0,0,0
142,0,0.0,11.0,2.0,2,5,2.0,0,12.0,1.0,1.0,5.0,140.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
143,0,18.0,26.0,3.0,3,2,1.0,1,14.0,0.0,4.0,10.0,234.95999999999998,1,0,0,1,0,0,0,1,1,0,0,0,0,0
144,0,9.0,12.0,2.0,3,2,1.0,0,11.0,4.0,10.0,11.0,132.1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
145,0,28.0,6.0,2.0,3,5,1.0,1,14.0,2.0,4.0,13.0,290.45,1,0,0,1,0,0,0,1,0,0,0,1,0,1
146,1,10.0,35.0,2.0,3,4,2.0,1,12.0,5.0,9.0,7.0,218.49,0,0,0,0,1,0,0,1,0,0,0,0,0,0
147,0,5.0,15.0,3.0,3,2,2.0,0,23.0,1.0,1.0,4.0,120.69999999999999,1,0,0,1,0,0,0,1,0,0,1,0,0,0
148,0,10.0,12.0,3.0,3,2,5.0,0,14.0,0.0,1.0,1.0,165.02,1,0,1,1,0,0,0,1,0,1,0,0,0,0
149,0,0.0,9.0,3.0,4,3,2.0,0,17.0,1.0,1.0,0.0,132.3,1,0,0,1,0,0,0,1,0,0,1,0,0,1
150,0,10.0,6.0,0.0,3,2,3.0,1,18.0,0.0,2.0,2.0,236.02999999999997,0,0,0,1,0,0,0,0,0,0,0,0,1,0
151,0,2.0,28.0,3.0,2,4,8.0,0,18.0,5.0,6.0,7.0,219.95999999999998,1,0,0,0,1,0,0,0,0,0,0,0,1,0
152,0,11.0,13.0,2.0,2,5,2.0,1,24.0,0.0,7.0,7.0,156.05,1,0,1,1,0,0,0,0,0,1,0,0,1,0
153,0,0.0,6.0,2.0,3,4,2.0,0,20.0,0.0,1.0,4.0,163.97,0,0,0,0,1,0,0,0,0,1,0,0,1,0
154,0,23.0,10.0,3.0,3,4,4.0,0,14.0,2.0,1.0,6.0,291.44,1,0,0,0,1,0,0,1,0,0,0,1,1,0
155,0,26.0,9.0,2.0,3,3,4.0,1,16.0,2.0,1.0,3.0,275.84,1,0,0,1,0,0,0,1,1,0,0,0,0,0
156,0,15.0,6.0,2.0,3,3,2.0,0,25.0,4.0,11.0,6.0,149.07,1,0,1,0,1,0,0,1,0,1,0,0,0,0
157,0,2.0,8.0,2.0,3,2,2.0,0,18.0,0.0,1.0,9.0,145.54,0,0,1,0,1,0,0,1,0,1,0,0,0,1
158,0,28.0,26.0,2.0,3,2,4.0,1,19.0,1.0,1.0,8.0,154.15,1,0,0,0,0,0,0,1,0,1,0,0,0,0
159,0,0.0,17.0,2.0,3,5,2.0,1,13.0,2.0,3.0,3.0,147.41,0,0,0,1,0,0,0,1,0,1,0,0,0,0
160,0,1.0,6.0,2.0,3,2,2.0,0,12.0,1.0,5.0,7.0,121.15,1,0,0,0,1,0,0,0,0,0,1,0,0,1
161,1,7.0,30.0,3.0,3,3,4.0,1,22.0,0.0,1.0,0.0,131.61,0,0,0,0,1,0,0,1,0,0,1,0,1,0
162,0,11.0,29.0,2.0,3,2,10.0,0,14.0,0.0,1.0,2.0,157.45,1,0,0,0,1,0,0,1,0,1,0,0,1,0
163,1,0.0,13.0,2.0,3,4,3.0,1,13.0,1.0,1.0,2.0,123.72999999999999,1,0,0,1,0,0,0,1,0,0,1,0,1,0
164,0,1.0,14.0,3.0,3,2,2.0,0,21.0,0.0,1.0,2.0,133.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
165,0,22.0,16.0,2.0,3,5,10.0,1,11.0,2.0,1.0,2.0,286.65,0,0,0,0,1,0,0,0,0,0,0,1,0,1
166,0,9.0,9.0,1.0,3,4,5.0,0,12.0,6.0,7.0,7.0,144.85,1,0,0,0,0,0,0,1,0,1,0,0,0,1
167,0,4.0,11.0,3.0,3,4,2.0,0,11.0,0.0,2.0,2.0,127.88999999999999,0,0,1,0,0,1,0,0,0,0,1,0,1,0
168,1,0.0,10.0,2.0,4,2,2.0,1,12.0,7.0,7.0,4.0,158.28,1,0,1,0,0,1,0,1,0,1,0,0,0,1
169,0,10.0,13.0,2.0,3,2,2.0,1,12.0,0.0,1.0,2.0,123.25999999999999,0,0,0,1,0,0,0,1,0,0,1,0,0,0
170,0,15.0,32.0,3.0,3,4,6.0,0,14.0,2.0,4.0,8.0,235.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0
171,1,1.0,9.0,2.0,3,3,2.0,0,13.0,0.0,1.0,0.0,114.19999999999999,1,0,0,0,1,0,0,1,0,0,1,0,0,1
172,0,8.0,22.0,3.0,3,4,1.0,0,15.0,3.0,6.0,9.0,180.2,1,0,1,0,0,1,0,1,0,0,0,0,0,0
173,0,9.0,24.0,2.0,2,2,5.0,0,18.0,0.0,1.0,0.0,136.88,0,0,0,0,1,0,0,1,0,0,1,0,0,0
174,0,24.0,8.0,2.0,5,4,6.0,0,18.0,0.0,1.0,2.0,154.82,1,0,0,1,0,0,0,1,0,1,0,0,1,0
175,0,14.0,8.0,2.0,3,4,2.0,0,19.0,1.0,4.0,4.0,260.15,1,0,1,0,1,0,0,1,1,0,0,0,0,1
176,0,0.0,16.0,3.0,4,3,2.0,0,12.0,1.0,1.0,0.0,112.0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
177,0,1.0,22.0,3.0,2,5,1.0,0,19.0,0.0,1.0,7.0,156.61,1,0,0,1,0,0,0,1,0,1,0,0,0,1
178,0,4.0,13.0,3.0,2,2,5.0,0,11.0,3.0,7.0,7.0,169.29,1,0,1,0,0,0,0,1,0,1,0,0,0,0
